{'action_bound': 1,
 'action_dim': 1,
 'actor_l1': 400,
 'actor_l2': 300,
 'actor_lr': 0.0001,
 'actor_rnn': 20,
 'buffer_size': 1000000,
 'critic_l1': 400,
 'critic_l2': 300,
 'critic_lr': 0.001,
 'critic_rnn': 20,
 'discretization_time': 0.001,
 'gamma': 0.99,
 'load_model': False,
 'max_episode_len': 1200,
 'max_episodes': 500,
 'mini_batch_size': 1000,
 'noise_var': 0.0925,
 'random_seed': 1754,
 'save_model': True,
 'scaling': True,
 'state_dim': 2,
 'summary_dir': '/afs/crc.nd.edu/user/k/kkosaraj/GITHUB_REP_DCBF/my_scripts/test_name=dcbf_2/gamma=0.99/time_steps=2',
 'tau': 0.001,
 'time_steps': 2,
 'use_gpu': True}
(array([0.02971586, 0.02961047], dtype=float32), array([ 19.491829, 199.30959 ], dtype=float32))
| Reward: -211.6431 | Episode: 327 | Qmax: -76.2326
| Reward: -46.4524 | Episode: 328 | Qmax: -72.4705
| Reward: -78.8275 | Episode: 329 | Qmax: -69.4925
| Reward: -151.7269 | Episode: 330 | Qmax: -67.2651
| Reward: -10.6307 | Episode: 331 | Qmax: -65.3286
| Reward: -21.4296 | Episode: 332 | Qmax: -65.7087
| Reward: -25.9438 | Episode: 333 | Qmax: -63.9374
| Reward: -17.7844 | Episode: 334 | Qmax: -60.0266
| Reward: -56.9114 | Episode: 335 | Qmax: -60.7051
| Reward: -67.3650 | Episode: 336 | Qmax: -62.3363
| Reward: -279.6362 | Episode: 337 | Qmax: -61.3430
| Reward: -11.1382 | Episode: 338 | Qmax: -60.6250
| Reward: -179.0241 | Episode: 339 | Qmax: -62.7094
| Reward: -194.4203 | Episode: 340 | Qmax: -64.6513
| Reward: -24.6446 | Episode: 341 | Qmax: -63.6812
| Reward: -536.9500 | Episode: 342 | Qmax: -63.8520
| Reward: -8.0186 | Episode: 343 | Qmax: -60.6802
| Reward: -45.6555 | Episode: 344 | Qmax: -61.2618
| Reward: -26.9359 | Episode: 345 | Qmax: -60.0549
| Reward: -558.3355 | Episode: 346 | Qmax: -59.5545
| Reward: -27.7336 | Episode: 347 | Qmax: -51.7649
| Reward: -84.9862 | Episode: 348 | Qmax: -51.2474
| Reward: -56.6459 | Episode: 349 | Qmax: -55.0145
| Reward: -63.1386 | Episode: 350 | Qmax: -60.4673
| Reward: -23.5268 | Episode: 351 | Qmax: -62.6004
| Reward: -111.7296 | Episode: 352 | Qmax: -63.7293
| Reward: -65.6412 | Episode: 353 | Qmax: -61.9318
| Reward: -22.0401 | Episode: 354 | Qmax: -63.4449
| Reward: -87.8181 | Episode: 355 | Qmax: -65.4672
| Reward: -25.1306 | Episode: 356 | Qmax: -66.0688
| Reward: -73.4597 | Episode: 357 | Qmax: -63.0352
| Reward: -62.7770 | Episode: 358 | Qmax: -61.9820
| Reward: -116.6678 | Episode: 359 | Qmax: -62.3380
| Reward: -28.1368 | Episode: 360 | Qmax: -68.1068
| Reward: -94.5584 | Episode: 361 | Qmax: -72.4682
